platform,post_type,media_type,content_topic,day_of_week,predicted_donation_referrals,predicted_engagement_rate,prediction_timestamp
YouTube,FundraisingAppeal,Reel,Reintegration,Thursday,24.9,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Sunday,24.8,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Wednesday,24.8,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Wednesday,24.8,0.0773,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Sunday,24.8,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Wednesday,24.8,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Wednesday,24.8,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Sunday,24.8,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Sunday,24.8,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Sunday,24.7,0.0816,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Wednesday,24.7,0.0807,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Wednesday,24.7,0.0794,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Wednesday,24.6,0.081,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Wednesday,24.6,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Wednesday,24.6,0.0799,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Wednesday,24.6,0.0815,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Wednesday,24.6,0.081,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Sunday,24.6,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Wednesday,24.6,0.0781,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Wednesday,24.6,0.081,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Sunday,24.5,0.0817,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Sunday,24.5,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Sunday,24.5,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Wednesday,24.5,0.0802,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Sunday,24.5,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Sunday,24.5,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Sunday,24.5,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Reintegration,Wednesday,24.4,0.0807,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Sunday,24.4,0.0804,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Monday,24.3,0.0765,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Saturday,24.3,0.079,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Friday,24.3,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Friday,24.3,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Wednesday,24.3,0.081,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Saturday,24.3,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Reintegration,Sunday,24.3,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Monday,24.3,0.079,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Saturday,24.3,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Monday,24.3,0.079,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Friday,24.3,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Friday,24.3,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Saturday,24.3,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Monday,24.3,0.079,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Monday,24.2,0.0782,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Tuesday,24.2,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Monday,24.2,0.0795,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Tuesday,24.2,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Tuesday,24.2,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Tuesday,24.2,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Monday,24.1,0.0795,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Monday,24.1,0.0791,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Saturday,24.1,0.0824,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Friday,24.1,0.0816,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Tuesday,24.1,0.0816,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Monday,24.1,0.0766,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Monday,24.1,0.0787,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Monday,24.1,0.0791,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Monday,24.1,0.0791,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Saturday,24.1,0.0811,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Friday,24.1,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Tuesday,24.1,0.0803,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Saturday,24.0,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Tuesday,24.0,0.0817,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Friday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Saturday,24.0,0.0825,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Saturday,24.0,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Tuesday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Tuesday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Friday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Friday,24.0,0.0817,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Saturday,24.0,0.0791,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Saturday,24.0,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Friday,24.0,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Tuesday,24.0,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Friday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Tuesday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Friday,24.0,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Saturday,24.0,0.0817,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Tuesday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Friday,24.0,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Saturday,24.0,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Tuesday,24.0,0.0783,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Monday,23.9,0.079,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Monday,23.9,0.0782,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Friday,23.9,0.0804,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Saturday,23.9,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Reintegration,Friday,23.8,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Reintegration,Tuesday,23.8,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Reintegration,Monday,23.8,0.0788,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Reintegration,Saturday,23.8,0.0817,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Tuesday,23.8,0.0804,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Saturday,23.7,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Friday,23.7,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Tuesday,23.7,0.0812,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Sunday,23.7,0.0724,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Monday,23.7,0.0791,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Wednesday,23.4,0.0736,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Monday,22.9,0.0738,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Tuesday,22.8,0.0743,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Friday,22.8,0.0743,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Saturday,22.8,0.0751,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Sunday,22.8,0.0743,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,CampaignLaunch,Thursday,22.8,0.0713,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Wednesday,22.5,0.0717,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Friday,21.9,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Thursday,21.9,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Saturday,21.9,0.0732,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Tuesday,21.8,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Health,Monday,21.8,0.0719,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Wednesday,20.9,0.0688,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Wednesday,20.9,0.0717,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Wednesday,20.9,0.0722,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Wednesday,20.9,0.0717,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Wednesday,20.9,0.0717,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Wednesday,20.8,0.0709,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Wednesday,20.7,0.0714,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Monday,20.4,0.0719,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Monday,20.4,0.0723,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Monday,20.4,0.0719,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Monday,20.4,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Monday,20.4,0.0719,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Tuesday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Thursday,20.3,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Sunday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Saturday,20.3,0.0732,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Friday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Friday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Thursday,20.3,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Saturday,20.3,0.0732,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Gratitude,Sunday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Tuesday,20.3,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,EventRecap,Tuesday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Saturday,20.3,0.0736,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Friday,20.3,0.0728,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Thursday,20.3,0.0699,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Tuesday,20.3,0.0728,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Sunday,20.3,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Saturday,20.3,0.0702,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Tuesday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Friday,20.3,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Thursday,20.3,0.0694,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Friday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Saturday,20.3,0.0732,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,AwarenessRaising,Sunday,20.3,0.0724,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Education,Thursday,20.3,0.0665,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,SafehouseLife,Sunday,20.3,0.0728,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Monday,20.2,0.0711,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Friday,20.2,0.0715,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Thursday,20.2,0.0686,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Saturday,20.2,0.0723,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Sunday,20.2,0.0715,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,DonorImpact,Tuesday,20.1,0.0715,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Tuesday,20.1,0.0721,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Monday,20.1,0.0716,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Thursday,20.1,0.0691,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Friday,20.1,0.0721,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Saturday,20.1,0.0728,2026-04-09T19:37:24.051216+00:00
WhatsApp,ImpactStory,Photo,Reintegration,Sunday,20.1,0.0721,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Sunday,16.2,0.0818,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Wednesday,16.2,0.0824,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Sunday,15.9,0.0819,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Wednesday,15.9,0.0827,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Saturday,15.6,0.0845,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Monday,15.6,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Thursday,15.6,0.0811,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Friday,15.6,0.0837,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Sunday,15.6,0.0837,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,CampaignLaunch,Tuesday,15.5,0.0837,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Monday,15.4,0.082,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Sunday,15.3,0.0838,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Thursday,15.3,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Friday,15.3,0.0838,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Saturday,15.3,0.0846,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,CampaignLaunch,Tuesday,15.3,0.0838,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Wednesday,15.0,0.0805,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Wednesday,14.7,0.0808,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Saturday,14.4,0.0826,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Thursday,14.4,0.0792,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Friday,14.4,0.0818,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Tuesday,14.3,0.0818,2026-04-09T19:37:24.051216+00:00
Instagram,FundraisingAppeal,Reel,CampaignLaunch,Thursday,14.3,0.1006,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Health,Monday,14.3,0.0801,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Saturday,14.1,0.0827,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Monday,14.1,0.0801,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Thursday,14.1,0.0793,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Tuesday,14.1,0.0819,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,Health,Friday,14.1,0.0819,2026-04-09T19:37:24.051216+00:00
TikTok,ImpactStory,Video,Health,Sunday,14.0,0.0584,2026-04-09T19:37:24.051216+00:00
TikTok,FundraisingAppeal,Reel,Health,Sunday,14.0,0.0578,2026-04-09T19:37:24.051216+00:00
Facebook,FundraisingAppeal,Reel,CampaignLaunch,Thursday,14.0,0.0679,2026-04-09T19:37:24.051216+00:00
Instagram,FundraisingAppeal,Reel,CampaignLaunch,Wednesday,13.8,0.1034,2026-04-09T19:37:24.051216+00:00
TikTok,ImpactStory,Reel,Health,Sunday,13.7,0.0584,2026-04-09T19:37:24.051216+00:00
Instagram,FundraisingAppeal,Reel,CampaignLaunch,Sunday,13.7,0.1032,2026-04-09T19:37:24.051216+00:00
TikTok,FundraisingAppeal,Reel,CampaignLaunch,Thursday,13.7,0.0571,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Gratitude,Wednesday,13.6,0.0805,2026-04-09T19:37:24.051216+00:00
Instagram,FundraisingAppeal,Reel,Health,Sunday,13.6,0.1013,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,AwarenessRaising,Wednesday,13.6,0.0805,2026-04-09T19:37:24.051216+00:00
Instagram,ImpactStory,Video,Health,Sunday,13.6,0.1019,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Education,Wednesday,13.6,0.0776,2026-04-09T19:37:24.051216+00:00
TikTok,ImpactStory,Carousel,Health,Sunday,13.6,0.0588,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,EventRecap,Wednesday,13.6,0.0805,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,SafehouseLife,Wednesday,13.5,0.081,2026-04-09T19:37:24.051216+00:00
Facebook,FundraisingAppeal,Reel,CampaignLaunch,Wednesday,13.5,0.0707,2026-04-09T19:37:24.051216+00:00
TikTok,ImpactStory,Photo,Health,Sunday,13.5,0.0613,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,DonorImpact,Wednesday,13.5,0.0797,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Video,Reintegration,Wednesday,13.4,0.0802,2026-04-09T19:37:24.051216+00:00
YouTube,ImpactStory,Reel,EventRecap,Wednesday,13.4,0.0808,2026-04-09T19:37:24.051216+00:00
Instagram,ImpactStory,Photo,CampaignLaunch,Wednesday,13.4,0.106,2026-04-09T19:37:24.051216+00:00
